Id,Label,timeset,modularity_class,eigencentrality
993,,,15,0
994,,,41,0.004373
995,,,13,0.000969
996,,,29,0.11782
997,,,3,0
998,,,15,0.004786
999,,,365,0.006578
1000,,,2,0.013364
1001,,,26,0.064195
1002,,,20,0.000821
1003,,,15,0.046569
1004,,,34,0
1005,,,136,0.064124
1006,,,10,0.008244
1007,,,18,0.001643
1008,,,16,0
1009,,,4,0.017618
1010,,,27,0.041882
1011,,,27,0.014292
1012,,,40,0.001954
1013,,,186,0.004566
1014,,,30,0.105522
1015,,,30,0
1016,,,31,0.012435
1017,,,37,0.018052
1018,,,15,0.01882
1019,,,36,0.049673
1020,,,10,0.021174
1021,,,4,0.01699
1022,,,10,0
1023,,,365,0.118317
1024,,,44,0.030629
1025,,,10,0
1026,,,7,0
1027,,,7,0.002464
1028,,,7,0
1029,,,15,0
1030,,,4,0.093615
1031,,,29,0
1032,,,29,0.008179
1033,,,29,0.066496
1034,,,29,0
1035,,,15,0
1036,,,17,0.006638
1037,,,17,0.01236
1038,,,136,0.02112
1039,,,40,0.015518
1040,,,40,0
1041,,,40,0.101067
1042,,,68,0
1043,,,4,0.039743
1044,,,37,0.060107
1045,,,4,0
1046,,,13,0.094929
1047,,,4,0.006034
1048,,,15,0.040797
1049,,,44,0.001965
1050,,,41,0.012294
1051,,,13,0.028611
1052,,,13,0
1053,,,36,0.027814
1054,,,36,0
1055,,,36,0.008301
1056,,,12,0
1057,,,10,0.000969
1058,,,4,0.017166
1059,,,266,0
1060,,,27,0.031531
1061,,,30,0.044701
1062,,,30,0
1063,,,30,0
1064,,,30,0
1065,,,31,0.026152
1066,,,31,0
1067,,,31,0.005499
1068,,,27,0.014857
1069,,,29,0.001804
1070,,,9,0.118352
1071,,,12,0.040123
1072,,,9,0
1073,,,27,0.00447
1074,,,12,0
1075,,,11,0.002146
1076,,,37,0.004071
1077,,,12,0
1078,,,6,0.008083
1079,,,27,0.010203
1080,,,36,0
1081,,,9,0
1082,,,9,0.114606
1083,,,365,0.177666
1084,,,365,0.016931
1085,,,27,0.023553
1086,,,9,0.07276
1087,,,6,0.006556
1088,,,2,0.058051
1089,,,13,0
1090,,,13,0.015554
1091,,,29,0.070468
1092,,,15,0.000821
1093,,,13,0.004526
1094,,,34,0.020357
1095,,,34,0.006886
1096,,,34,0
1097,,,4,0.020703
